1.03,4060.81
22.06,4060.81
42.16,4060.81
58.56,4074.32
77.11,4094.59
95.05,4114.86
112.37,4141.89
128.14,4168.92
144.54,4195.95
163.40,4243.24
185.36,4304.05
204.54,4364.86
223.71,4425.68
240.72,4479.73
257.42,4533.78
272.89,4594.59
285.88,4635.14

0.41,3297.30
28.87,3290.54
82.68,3310.81
103.71,3331.08
126.60,3358.11
151.34,3405.41
174.23,3452.70
196.49,3500.00
218.76,3560.81
243.20,3635.14
265.15,3709.46
286.80,3783.78
309.07,3864.86
368.45,4114.86
400.62,4270.27
369.07,4114.86
338.76,3979.73

77.42,2554.05
104.64,2540.54
130.62,2533.78
158.76,2567.57
186.60,2628.38
214.43,2695.95
240.41,2763.51
266.70,2844.59
292.99,2925.68
316.80,3013.51
341.86,3101.35
365.36,3189.19
389.18,3283.78
412.99,3385.14
436.19,3479.73
459.38,3587.84
481.34,3689.19

112.99,1932.43
131.55,1945.95
151.96,1952.70
173.61,1959.46
196.80,1993.24
221.86,2027.03
251.24,2081.08
281.24,2148.65
313.71,2216.22
344.33,2310.81
370.93,2378.38
418.56,2533.78
451.34,2648.65
394.43,2452.70
477.94,2729.73
497.73,2810.81
435.57,2594.59

184.12,1351.35
219.38,1371.62
251.55,1405.41
283.09,1445.95
312.78,1493.24
347.42,1547.30
388.87,1628.38
458.45,1783.78
479.79,1837.84
202.06,1364.86
235.46,1391.89
297.94,1466.22
364.43,1581.08
267.01,1418.92
328.25,1513.51
412.06,1675.68
435.57,1729.73
