0.645,0.512
12.903,0.518
27.097,0.523
40.000,0.526
54.194,0.527
68.387,0.525
81.935,0.523
96.129,0.520
109.677,0.516
123.871,0.512
140.323,0.508
153.548,0.504
170.000,0.500
185.806,0.497
200.645,0.494
215.484,0.492
230.645,0.489

0.645,0.494
29.677,0.501
29.677,0.502
60.645,0.503
90.968,0.500
120.968,0.492
150.323,0.484
179.355,0.477
210.000,0.470
240.000,0.464
270.000,0.459
300.323,0.454
330.323,0.449
360.323,0.445
390.645,0.441
420.968,0.436
450.645,0.432

102.581,0.488
125.161,0.481
148.065,0.475
177.419,0.467
200.968,0.460
224.194,0.455
249.032,0.449
270.968,0.444
296.774,0.439
319.355,0.435
340.645,0.431
364.194,0.426
384.839,0.423
406.129,0.420
426.452,0.417
446.774,0.415
466.774,0.412

102.581,0.481
125.484,0.476
146.452,0.470
166.774,0.465
207.419,0.455
186.774,0.460
232.581,0.448
257.419,0.442
281.290,0.436
302.581,0.432
325.806,0.428
349.032,0.422
369.355,0.418
391.613,0.414
416.129,0.409
437.742,0.405
460.323,0.402
